numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
1744,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,3/26/1993,2,propositiva,-,-
1745,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São Paulo/SP,,categoria,poder executivo/municipal,3/11/1993,1,propositiva,-,-
1985,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,3/22/1995,1,-,-,protesto
1987,Professores Rede Municipal ,Salvador/BA,,categoria,poder executivo/municipal,3/2/1995,1,-,defensiva,-
1988,Professores Rede Estadual,PE,ESCOLA DE 1º E 2º GRAUS PRESIDENTE MÉDICI,empresa/unidade,poder executivo/estadual,3/19/1995,5,propositiva,-,-
2007,Professores Rede Estadual,São Paulo/SP,,categoria,poder executivo/estadual,3/27/1995,33,propositiva,-,protesto
2008,Professores Rede Municipal ,Floresta Azul/BA,,categoria,poder executivo/municipal,3/13/1995,32,-,defensiva,-
2081,Professores Rede Estadual,SC,,categoria,poder executivo/estadual,4/24/1995,58,propositiva,-,-
2082,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,4/20/1995,1,propositiva,-,-
2084,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,4/27/1995,1,propositiva,-,-
2085,Professores Rede Estadual,ES,,categoria,poder executivo/estadual,4/5/1995,1,propositiva,-,-
2086,Professores Rede Federal Ensino Superior,Vitória/ES,UFES - UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,empresa/unidade,poder executivo/federal,4/26/1995,1,-,-,protesto
2087,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,4/27/1995,1,propositiva,-,-
2088,Professores Rede Municipal ,Belo Horizonte/MG,,categoria,poder executivo/municipal,4/11/1995,2,propositiva,-,-
2089,Professores Rede Federal Ensino Superior,Viçosa/MG,UFV - UNIVERSIDADE FEDERAL DE VIÇOSA,empresa/unidade,poder executivo/federal,4/1/1995,1,-,-,-
2090,Professores Rede Federal Ensino Superior,Porto Alegre/RS,UFRGS - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,empresa/unidade,poder executivo/federal,4/5/1995,1,-,-,protesto
2091,Professores Rede Municipal ,Cuiabá/MT,,categoria,poder executivo/municipal,4/11/1995,17,propositiva,defensiva,-
2092,Professores Rede Federal Ensino Superior,Manaus/AM,UFAM - UNIVERSIDADE FEDERAL DO AMAZONAS,empresa/unidade,poder executivo/federal,4/27/1995,1,-,-,protesto
2093,Professores Rede Federal Ensino Superior,Belém/PA,UFPA - UNIVERSIDADE FEDERAL DO PARÁ,empresa/unidade,poder executivo/federal,4/26/1995,2,-,-,protesto
2203,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,5/10/1995,22,propositiva,-,-
2204,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,5/15/1995,13,propositiva,defensiva,-
2206,Professores Rede Municipal ,Cuiabá/MT,,categoria,poder executivo/municipal,5/1/1995,1,propositiva,-,-
2207,Professores Rede Municipal ,Belo Horizonte/MG,,categoria,poder executivo/municipal,5/25/1995,1,propositiva,-,-
2208,Professores Rede Municipal ,Governador Valadares/MG,,categoria,poder executivo/municipal,5/24/1995,1,propositiva,-,-
2209,Professores Rede Municipal ,Natal/RN,,categoria,poder executivo/municipal,5/9/1995,31,propositiva,-,-
2211,Professores Rede Federal Ensino Superior,NACIONAL,,categoria,poder executivo/federal,5/3/1995,24,propositiva,defensiva,protesto
2212,Professores Rede Estadual,RN,,categoria,poder executivo/estadual,5/23/1995,5,propositiva,-,-
2247,Professores Rede Municipal ,Niterói/RJ,,categoria,poder executivo/municipal,5/31/1995,6,propositiva,-,-
2248,Professores Rede Federal Ensino Superior,Brasília/DF,Universidade Brasilia,empresa/unidade,poder executivo/federal,5/8/1995,28,propositiva,-,protesto
2316,Professores Rede Estadual,MT,,categoria,poder executivo/estadual,6/1/1995,1,propositiva,-,-
2317,Professores Rede Estadual Ensino Superior,SP,,categoria,poder executivo/estadual,5/24/1995,9,propositiva,-,protesto
2318,Professores Rede Estadual,RN,,categoria,poder executivo/estadual,5/25/1995,15,propositiva,-,-
2391,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,7/9/1995,1,propositiva,-,-
2473,"Professores Rede Estadual, Professores Rede Federal, Professores Rede Municipal",RJ,,categoria,"poder executivo/federal, poder executivo/estadual, poder executivo/municipal",8/23/1995,1,-,-,protesto
2474,Professores Rede Estadual,Recife/PE,,categoria,poder executivo/estadual,8/10/1995,1,-,defensiva,-
2516,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",RJ,,categoria,poder executivo/estadual,9/13/1995,14,propositiva,defensiva,-
2524,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",DF,,categoria,poder executivo/estadual,9/14/1995,13,propositiva,-,-
2525,Professores Rede Municipal ,Vitória/ES,,categoria,poder executivo/municipal,9/13/1995,10,propositiva,-,-
2526,Professores Rede Municipal ,Vila Velha/ES,,categoria,poder executivo/municipal,9/1/1995,11,propositiva,-,-
2578,Professores Rede Municipal,Serra/ES,,categoria,poder executivo/municipal,10/9/1995,1,-,defensiva,-
2581,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,10/14/1995,13,propositiva,-,-
2582,Professores Rede Municipal ,Goiânia/GO,,categoria,poder executivo/municipal,10/4/1995,6,propositiva,-,-
2583,Professores Rede Municipal ,Natal/RN,,categoria,poder executivo/municipal,10/9/1995,5,-,defensiva,-
2672,Professores Rede Estadual,Rio de Janeiro/RJ,,categoria,poder executivo/estadual,11/9/1995,1,-,defensiva,protesto
2673,Professores Rede Municipal ,Aparecida de Goiânia/GO,,categoria,poder executivo/municipal,11/6/1995,10,-,defensiva,-
2674,Professores Rede Municipal ,Florianópolis/SC,,categoria,poder executivo/municipal,11/14/1995,3,-,defensiva,-
2675,Professores Rede Municipal ,Natal/RN,,categoria,poder executivo/municipal,11/9/1995,1,-,defensiva,-
2678,Professores Rede Federal Ensino Superior,Belém/PA,UFPA - UNIVERSIDADE FEDERAL DO PARÁ,empresa/unidade,poder executivo/federal,11/24/1995,1,propositiva,defensiva,-
2796,Professores Rede Municipal ,Salvador/BA,,categoria,poder executivo/municipal,12/11/1995,1,-,defensiva,-
2866,Professores Rede Federal Ensino Superior,RJ,UFRJ - UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,empresa/unidade,poder executivo/federal,1/17/1997,1,-,defensiva,-
2867,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Serra/ES,,categoria,poder executivo/municipal,10/3/1996,100,-,-,protesto
2995,Professores Rede Estadual Ensino Superior,Rio de Janeiro/RJ,UERJ - UNIVERSIDADE ESTADUAL DO RIO DE JANEIRO,empresa/unidade,poder executivo/estadual,3/10/1997,17,-,defensiva,-
2996,Professores Rede Federal Ensino Superior,Salvador/BA,UFBA -UNIVERSIDADE FEDERAL DA BAHIA,empresa/unidade,poder executivo/federal,3/11/1997,7,-,defensiva,-
2997,Professores Rede Estadual,Teresina/PI,,categoria,poder executivo/estadual,3/3/1997,1,propositiva,defensiva,-
3066,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,2/9/1998,2,propositiva,-,-
3122,Professores Rede Federal Ensino Superior,NACIONAL,,categoria,poder executivo/federal,3/18/1998,3,propositiva,defensiva,-
3123,Professores Rede Federal Ensino Técnico-Profissional,Curitiba/PR,CEFET/PR - CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DO PARANÁ,empresa/unidade,poder executivo/federal,3/30/1998,1,propositiva,-,protesto
3124,Professores Rede Estadual,PE,,categoria,poder executivo/estadual,3/23/1998,5,propositiva,-,-
3125,Professores Rede Municipal,Vitória da Conquista/BA,,categoria,poder executivo/municipal,3/1/1998,5,propositiva,-,-
3143,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",Teresina/PI,,categoria,poder executivo/estadual,3/12/1998,1,-,defensiva,-
3149,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,4/2/1998,1,propositiva,-,protesto
3150,Professores Rede Estadual,Rio de Janeiro/RJ,,categoria,poder executivo/estadual,3/3/1998,42,propositiva,-,-
3151,Professores Rede Municipal,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,4/22/1998,1,propositiva,-,-
3185,Professores Rede Estadual,Goiânia/GO,,categoria,poder executivo/estadual,4/28/1998,1,propositiva,-,-
3193,Professores Rede Estadual,PA,,categoria,poder executivo/estadual,4/29/1998,1,propositiva,-,-
3195,Auxiliares de Administração Escolar Rede Municipal,Teresina/PI,,categoria,poder executivo/municipal,4/28/1998,1,propositiva,-,-
3228,Professores Rede Estadual,SP,,categoria,poder executivo/estadual,5/11/1998,10,propositiva,defensiva,protesto
3229,Professores Rede Estadual Ensino Superior,Rio de Janeiro/RJ,UERJ - UNIVERSIDADE ESTADUAL DO RIO DE JANEIRO,empresa/unidade,poder executivo/estadual,5/7/1998,5,propositiva,defensiva,-
3267,Professores Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,empresa/unidade,poder executivo/estadual,6/17/1998,1,-,-,protesto
3273,Professores Rede Municipal,Caxias/MA,,categoria,poder executivo/municipal,6/22/1998,2,propositiva,-,-
3274,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,6/5/1998,1,propositiva,defensiva,-
3278,Professores Rede Municipal,Betim/MG,,categoria,poder executivo/municipal,6/3/1998,14,propositiva,-,-
3281,Professores Rede Estadual,Brasília/DF,,categoria,poder executivo/estadual,4/23/1998,67,propositiva,defensiva,-
3312,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,7/31/1998,1,-,defensiva,-
3316,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,7/27/1998,3,-,defensiva,-
3317,Rede Pública Federal de ENSINO,NACIONAL,,categoria,poder executivo/federal,3/31/1998,105,propositiva,defensiva,-
3334,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,8/28/1998,4,-,defensiva,-
3338,Professores Rede Municipal,Fortaleza/CE,,categoria,poder executivo/municipal,8/2/1998,4,propositiva,defensiva,protesto
3340,Professores Rede Municipal ,Fortaleza/CE,,categoria,poder executivo/municipal,8/14/1998,7,propositiva,-,-
3343,Professores Rede Municipal,Brumadinho/MG,,categoria,poder executivo/municipal,8/12/1998,14,-,defensiva,-
3375,Professores Rede Estadual,PB,Empregador não identificado,empresa/unidade,poder executivo/estadual,8/17/1998,36,propositiva,-,-
3377,Professores Rede Estadual,Francisco Beltrão/PR,FACULDADE DE CIÊNCIAS E HUMANIDADES,empresa/unidade,poder executivo/estadual,8/3/1998,33,-,defensiva,-
3378,Professores Rede Estadual,SC,,categoria,poder executivo/estadual,9/15/1998,1,-,defensiva,-
3379,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,8/18/1998,15,propositiva,-,-
3380,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,9/29/1998,1,propositiva,-,-
3388,Professores Rede Estadual Ensino Superior,Anápolis/GO,UNIANA - UNIVERSIDADE ESTADUAL DE ANÁPOLIS,empresa/unidade,poder executivo/estadual,9/21/1998,16,propositiva,-,-
3389,Professores Rede Municipal,São Luís/MA,,categoria,poder executivo/municipal,9/27/1998,19,propositiva,defensiva,-
3390,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,9/15/1998,17,propositiva,-,protesto
3450,Professores Rede Estadual,Florianópolis/SC,COLÉGIO ESTADUAL ADERBAL RAMOS DA SILVA,empresa/unidade,poder executivo/estadual,11/5/1998,1,-,defensiva,-
3611,Professores Rede Estadual,PB,,categoria,poder executivo/estadual,2/4/1999,22,-,defensiva,-
3647,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,3/17/1999,1,propositiva,defensiva,-
3658,Professores Rede Municipal,BA,,categoria,poder executivo/municipal,3/12/1999,1,-,defensiva,-
3675,Professores Rede Municipal,Cruzeiro/SP,,categoria,poder executivo/municipal,4/13/1999,3,-,defensiva,-
3696,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,4/16/1999,15,propositiva,defensiva,protesto
3699,Professores Rede Estadual,PE,,categoria,poder executivo/estadual,4/20/1999,22,propositiva,defensiva,protesto
3736,Professores Rede Estadual Ensino Superior,Palmeira dos Índios/AL,FUNESA - FUNDAÇÃO UNIVERSIDADE ESTADUAL DE ALAGOAS,empresa/unidade,poder executivo/estadual,5/19/1999,2,propositiva,defensiva,-
3738,Professores Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,empresa/unidade,poder executivo/estadual,5/27/1999,1,propositiva,-,-
3746,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,5/27/1999,10,propositiva,defensiva,protesto
3749,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,5/27/1999,1,propositiva,defensiva,-
3750,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,5/18/1999,1,-,defensiva,protesto
3751,Professores Rede Municipal,Serra/ES,,categoria,poder executivo/municipal,5/18/1999,1,-,defensiva,-
3763,Professores Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,empresa/unidade,poder executivo/estadual,6/6/1999,1,propositiva,defensiva,protesto
3766,Professores Rede Estadual,AL,UNIDADE ESCOLAR DE XINGÓ,empresa/unidade,poder executivo/estadual,6/25/1999,1,-,defensiva,-
3768,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,6/15/1999,7,-,defensiva,protesto
3771,Professores Rede Estadual,RS,,categoria,poder executivo/estadual,6/9/1999,1,propositiva,defensiva,protesto
3809,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,7/14/1999,6,-,defensiva,protesto
3819,Professores Rede Estadual Ensino Superior,AL,FUNESA - FUNDAÇÃO UNIVERSIDADE ESTADUAL DE ALAGOAS,empresa/unidade,poder executivo/estadual,7/21/1999,1,-,defensiva,-
3828,Professores Rede Estadual,Governador Mangabeira/BA,EFAP - ESCOLA DE FORMAÇÃO E APERFEIÇOAMENTO DE PRAÇAS,empresa/unidade,poder executivo/estadual,4/30/1999,63,-,defensiva,-
3850,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,8/25/1999,2,propositiva,defensiva,-
3851,Professores Rede Estadual,PA,,categoria,poder executivo/estadual,8/24/1999,8,-,defensiva,-
3853,Professores Rede Municipal,Recife/PE,,categoria,poder executivo/municipal,8/3/1999,1,propositiva,-,-
3863,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,8/6/1999,1,propositiva,defensiva,-
3893,Professores Rede Estadual Ensino Superior,Campina Grande/PB,UEPB - UNIVERSIDADE ESTADUAL DA PARAÍBA,empresa/unidade,poder executivo/estadual,9/24/1999,60,propositiva,-,-
3894,Professores Rede Municipal,São Paulo/SP,,categoria,poder executivo/municipal,9/28/1999,1,-,-,-
3898,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,9/2/1999,1,propositiva,defensiva,-
3899,Professores Rede Municipal,Luzilândia/PI,,categoria,poder executivo/municipal,9/18/1999,1,propositiva,defensiva,-
3920,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,10/29/1999,1,propositiva,defensiva,-
3927,"Professores Rede Estadual, Professores Rede Municipal",RJ,,categoria,"poder executivo/estadual, poder executivo/municipal",10/6/1999,1,propositiva,defensiva,protesto
3974,Professores Rede Municipal,Goiânia/GO,,categoria,poder executivo/municipal,11/11/1999,8,propositiva,defensiva,protesto
3975,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,11/16/1999,4,-,defensiva,protesto
4034,Professores Rede Municipal,Goiânia/GO,,categoria,poder executivo/municipal,12/6/1999,2,propositiva,defensiva,protesto
4041,Professores Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,categoria,poder executivo/estadual,9/17/1999,1,-,-,protesto
4042,Professores Rede Estadual,Campinas/SP,,categoria,poder executivo/estadual,8/12/1999,1,-,-,protesto
4100,Professores Rede Municipal ,Itatira/CE,,categoria,poder executivo/municipal,2/21/2000,3,-,defensiva,-
4101,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,2/16/2000,4,propositiva,-,-
4112,Professores Rede Estadual,AL,,categoria,poder executivo/estadual,2/15/2000,6,propositiva,defensiva,protesto
4113,Professores Rede Municipal,Arapiraca/AL,,categoria,poder executivo/municipal,2/14/2000,1,propositiva,defensiva,protesto
4115,Professores Rede Municipal,Rio Branco/AC,,categoria,poder executivo/municipal,2/18/2000,4,propositiva,defensiva,-
4146,Professores Rede Estadual,RS,,categoria,poder executivo/estadual,3/1/2000,34,propositiva,defensiva,protesto
4151,Professores Rede Municipal ,Xapuri/AC,,categoria,poder executivo/municipal,3/21/2000,7,-,defensiva,-
4152,Professores Rede Municipal ,Contagem/MG,,categoria,poder executivo/municipal,3/22/2000,5,propositiva,-,protesto
4153,Professores Rede Municipal,São Paulo/SP,,categoria,poder executivo/municipal,3/28/2000,1,propositiva,-,-
4154,Professores Rede Estadual Ensino Superior,Assis/SP,UNESP - UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,categoria,poder executivo/estadual,3/23/2000,1,propositiva,-,-
4155,Professores Rede Estadual,Balneário Camboriú/SC,COLÉGIO ESTADUAL PRESIDENTE JOÃO GOULART,categoria,poder executivo/estadual,3/27/2000,3,propositiva,defensiva,-
4157,Professores Rede Municipal ,Natal/RN,,categoria,poder executivo/municipal,3/29/2000,42,propositiva,-,-
4158,Professores Rede Municipal ,Belo Horizonte/MG,,categoria,poder executivo/municipal,3/24/2000,31,propositiva,-,protesto
4159,Professores Rede Municipal ,Juiz de Fora/MG,,categoria,poder executivo/municipal,3/30/2000,1,propositiva,-,-
4161,Professores Rede Estadual,MT,,categoria,poder executivo/estadual,3/9/2000,1,propositiva,defensiva,-
4165,Professores Rede Estadual,PB,,categoria,poder executivo/estadual,3/13/2000,68,propositiva,-,protesto
4166,Professores Rede Estadual Ensino Superior,Maceió/AL,FUNESA - FUNDAÇÃO UNIVERSIDADE ESTADUAL DE ALAGOAS,categoria,poder executivo/estadual,1/15/2000,48,-,defensiva,-
4186,Professores Rede Municipal ,Cachoeiras de Macacu/RJ,,categoria,poder executivo/municipal,4/20/2000,1,-,defensiva,-
4188,Professores Rede Estadual,MT,,categoria,poder executivo/estadual,4/10/2000,44,propositiva,defensiva,-
4191,Professores Rede Estadual Ensino Superior,SP,,categoria,poder executivo/estadual,4/5/2000,53,propositiva,-,-
4192,Professores Rede Estadual,SC,,categoria,poder executivo/estadual,4/10/2000,59,propositiva,defensiva,protesto
4193,Professores Rede Estadual Ensino Superior,SC,UDESC - FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,categoria,poder executivo/estadual,4/27/2000,65,propositiva,defensiva,protesto
4199,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Betim/MG,,categoria,poder executivo/municipal,4/1/2000,38,propositiva,-,-
4233,Professores Rede Estadual,SP,,categoria,poder executivo/estadual,5/3/2000,43,propositiva,defensiva,protesto
4235,Professores Rede Municipal ,Juiz de Fora/MG,,categoria,poder executivo/municipal,5/22/2000,33,propositiva,defensiva,-
4236,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,5/9/2000,44,propositiva,defensiva,protesto
4237,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,5/23/2000,10,-,defensiva,-
4238,Professores Rede Estadual,CE,,categoria,poder executivo/estadual,5/17/2000,27,propositiva,-,protesto
4239,Professores Rede Municipal ,Fortaleza/CE,,categoria,poder executivo/municipal,5/17/2000,27,propositiva,-,-
4240,Professores Rede Municipal ,Maracanaú/CE,,categoria,poder executivo/municipal,5/22/2000,8,propositiva,-,-
4241,Professores Rede Municipal ,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,4/3/2000,1,propositiva,defensiva,protesto
4242,Professores Rede Municipal ,Barra Mansa/RJ,,categoria,poder executivo/municipal,5/25/2000,1,propositiva,-,-
4243,Professores Rede Municipal ,Vitória da Conquista/BA,,categoria,poder executivo/municipal,5/3/2000,21,propositiva,-,-
4244,Professores Rede Estadual,PR,,categoria,poder executivo/estadual,5/10/2000,39,propositiva,defensiva,protesto
4247,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,5/26/2000,4,propositiva,-,protesto
4252,Professores Rede Federal ,Natal/RN,COLÉGIO MILITAR,categoria,poder executivo/federal,5/24/2000,1,propositiva,-,-
4254,Professores Rede Estadual Ensino Técnico-Profissional,SP,CEETEPS - CENTRO ESTADUAL DE EDUCAÇÃO TECNOLÓGICA PAULA SOUZA,categoria,poder executivo/estadual,4/26/2000,49,propositiva,-,protesto
4507,Professores Rede Municipal ,Recife/PE,,categoria,poder executivo/municipal,6/13/2000,7,propositiva,-,-
4744,Professores Rede Estadual,AL,,categoria,poder executivo/estadual,6/8/2000,1,propositiva,-,-
4745,Professores Rede Municipal ,Maceió/AL,,categoria,poder executivo/municipal,6/8/2000,1,propositiva,-,-
4779,Professores Rede Municipal,Cachoeira do Sul/RS,,categoria,poder executivo/municipal,4/10/1990,9,propositiva,-,protesto
4785,Professores Rede Municipal,Feira de Santana/BA,,categoria,poder executivo/municipal,3/15/1990,37,propositiva,-,-
4792,Professores Rede Estadual,MS,,categoria,poder executivo/estadual,4/9/1990,52,propositiva,defensiva,-
4799,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",RN,,categoria,poder executivo/estadual,3/22/1990,42,propositiva,-,-
4853,"Professores Rede Estadual, Professores Rede Municipal",CE,,categoria,"poder executivo/estadual, poder executivo/municipal",5/9/1990,1,propositiva,-,protesto
4856,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,6/1/2000,19,propositiva,-,protesto
4858,Professores Rede Municipal,São Leopoldo/RS,,categoria,poder executivo/municipal,5/11/1990,9,propositiva,-,-
4859,Professores Rede Estadual Ensino Superior,BA,,categoria,poder executivo/estadual,6/1/2000,30,-,defensiva,protesto
4861,Professores Rede Municipal,Balneário Camboriú/SC,,categoria,poder executivo/municipal,5/7/1990,6,propositiva,-,-
4864,Professores Rede Municipal Ensino Superior,Alegre/ES,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,categoria,poder executivo/municipal,5/7/1990,20,-,defensiva,-
4865,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,5/8/1990,5,propositiva,-,-
4867,Professores Rede Estadual,ES,,categoria,poder executivo/estadual,5/18/1990,1,propositiva,-,-
4869,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Belo Horizonte/MG,,categoria,poder executivo/municipal,5/17/1990,1,propositiva,defensiva,-
4872,Professores Rede Municipal ,São João de Meriti/RJ,,categoria,poder executivo/municipal,5/7/1990,4,propositiva,-,-
4874,"Professores Rede Estadual, Professores Rede Municipal",RJ,,categoria,"poder executivo/estadual, poder executivo/municipal",5/22/1990,2,propositiva,-,-
4893,Professores Rede Estadual Ensino Técnico-Profissional,Novo Hamburgo/RS,FUNDAÇÃO ESCOLA TÉCNICA LIBERATO SALZANO VIEIRA DA CUNHA,categoria,poder executivo/estadual,6/6/2000,25,propositiva,-,-
4951,Professores Rede Estadual Ensino Superior,PR,,categoria,poder executivo/estadual,5/31/2000,31,propositiva,-,-
4995,Professores Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,categoria,poder executivo/estadual,5/24/1990,1,propositiva,-,-
4997,Professores Rede Estadual,Brasília/DF,,categoria,poder executivo/estadual,5/8/1990,21,propositiva,defensiva,-
5226,Professores Rede Municipal,Maceió/AL,,categoria,poder executivo/municipal,2/19/1992,23,propositiva,defensiva,-
5227,"Professores Rede Estadual, Professores Rede Municipal",CE,,categoria,"poder executivo/estadual, poder executivo/municipal",2/6/1992,13,propositiva,-,-
5228,Professores Rede Municipal,Serra/ES,,categoria,poder executivo/municipal,1/13/1992,23,propositiva,-,-
5229,Professores Rede Municipal,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,2/6/1992,44,propositiva,-,-
