code,year,hlo,eys,lays
110000,2017,,,
110001,2017,.62550771,11.065001,.66610998
110002,2017,.63376802,10.889999,.66507107
110003,2017,.58318448,11.493999,.65458733
110004,2017,.60793948,11.401001,.66663641
110005,2017,.65162396,10.866999,.67468846
110006,2017,.62648135,11.288,.67417723
110007,2017,.59074748,11.188999,.64972234
110008,2017,.61443901,10.568,.64369601
110009,2017,.65852344,11.130001,.68821728
110010,2017,.59745443,10.602,.63555092
110011,2017,.61044294,11.358,.66675866
110012,2017,.63450658,11.186999,.67560816
110013,2017,.64586127,10.837999,.67031169
110014,2017,.72270572,11.305,.73610324
110015,2017,.64859295,10.548,.66186655
110018,2017,.5819205,11.092999,.6417346
110020,2017,.63892794,10.675,.66076601
110025,2017,.62400758,11.565001,.6820392
110026,2017,.64177799,10.865,.66886932
110028,2017,.65310597,11.376,.69376546
110029,2017,.61040258,11.861,.68331373
110030,2017,.64350361,10.46,.6560514
110032,2017,.5831278,11.802999,.6640569
110033,2017,.60522634,10.616,.64018804
110034,2017,.6067003,11.241,.66073227
110037,2017,.63154459,10.797,.66067249
110040,2017,.58298707,10.469001,.62391782
110045,2017,.61387533,11.174,.66282481
110050,2017,.62783223,11.283998,.67486447
110060,2017,.65700096,10.859,.6775648
110070,2017,.62559819,10.647,.65237188
110080,2017,.64312601,9.9969997,.6404056
110090,2017,.6307472,10.918,.66426098
110092,2017,.59383339,10.909,.64291054
110094,2017,.62592065,10.214001,.63855487
110100,2017,.61211061,11.157,.66122931
110110,2017,.640122,10.765,.66449565
110120,2017,.62498438,11.459,.67904741
110130,2017,.60159218,10.673001,.6399684
110140,2017,.6096862,11.006,.65495843
110143,2017,.62849557,10.738,.65698296
110145,2017,.57540607,11.092999,.6380353
110146,2017,.58590448,11.191,.64697254
110147,2017,.64553297,11.532,.69457364
110148,2017,.63793832,10.977,.67046213
110149,2017,.60580879,11.530999,.66954726
110150,2017,.62217551,11.443,.67676198
110155,2017,.61891413,10.97,.65912575
110160,2017,.59793937,11.521,.66438651
110170,2017,.62527019,11.164001,.66927606
110175,2017,.63941664,10.715,.66239578
110180,2017,.62876457,11.002,.66591942
120000,2017,,,
120001,2017,.63898832,10.537001,.65615493
120005,2017,.62245822,9.8000002,.62375802
120010,2017,.63297009,11.356999,.68051273
120013,2017,.62623453,10.850999,.65943068
120017,2017,.60890543,10.35,.63392395
120020,2017,.61772776,10.796,.65280235
120025,2017,.61915445,10.703,.65060329
120030,2017,.62341243,10.344,.64139247
120032,2017,.55251825,10.173,.60029233
120033,2017,.61044735,11.118,.65899211
120034,2017,.58174551,10.039,.61092043
120035,2017,.59393317,10.280999,.62406427
120038,2017,.60922229,10.698999,.64496803
120039,2017,.58896112,9.7740011,.60684645
120040,2017,.61823404,11.159,.66491896
120042,2017,.60127282,11.138,.65426558
120043,2017,.51523232,9.4659996,.56562448
120045,2017,.63576484,11.155999,.67530376
120050,2017,.61877251,10.433001,.64175564
120060,2017,.60057688,10.443999,.63241714
120070,2017,.65849346,10.559999,.66784126
120080,2017,.6101442,10.548,.64073718
130000,2017,,,
130002,2017,.55515486,9.4580002,.58277875
130006,2017,.54623079,9.9060011,.59030086
130008,2017,.54230952,11.115,.62015963
130010,2017,.59294182,10.929,.64302021
130014,2017,.60321534,10.276999,.62872553
130020,2017,.53931403,10.492001,.60210627
130030,2017,.53649426,10.173,.59251475
130040,2017,.58622551,10.512,.62687522
130050,2017,.5345186,10.165999,.59138578
130060,2017,.51699984,10.695999,.59594101
130063,2017,.52313054,10.252001,.58804649
130068,2017,.55897892,10.214001,.60456437
130070,2017,.5648042,11.408001,.64112103
130080,2017,.55922008,10.652,.61664921
130083,2017,.56345522,10.327001,.6098783
130090,2017,.57688653,10.077,.60960919
130100,2017,.58020014,10.555,.62495291
130110,2017,.56880862,10.453,.61610401
130115,2017,.56365901,10.644,.61876291
130120,2017,.56028712,10.511,.61332166
130130,2017,.58587515,9.9640007,.61079913
130140,2017,.56591034,10.476001,.61525291
130150,2017,.59502113,9.9019995,.61345518
130160,2017,.54445148,8.599,.55684912
130165,2017,.57931876,10.654999,.62738883
130170,2017,.585154,10.603,.62898427
130180,2017,.54628074,10.079,.59480423
130185,2017,.5661689,10.491,.61580449
130190,2017,.57501107,11.223999,.64166683
130195,2017,.5665971,10.204,.60806382
130200,2017,.59505934,10.573,.63338614
130210,2017,.50834548,9.3700008,.56048983
130220,2017,.55395365,9.2839994,.57777685
130230,2017,.55458105,9.7209997,.58936274
130240,2017,.53502476,10.449,.59883922
130250,2017,.57621837,10.725001,.62775546
130255,2017,.49972957,10.997,.59430778
130260,2017,.59472138,10.96,.64497203
130270,2017,.57607913,10.604,.62418997
130280,2017,.53385955,9.3590002,.57104421
130290,2017,.54041159,10.125001,.59317458
130300,2017,.54396629,11.236,.62435287
130310,2017,.53560591,10.28,.59480733
130320,2017,.5713532,10.695,.62428379
130330,2017,.57008743,10.723999,.6244334
130340,2017,.5850693,11.162,.645612
130350,2017,.538885,9.4970007,.57661718
130353,2017,.58404028,10.285001,.6191228
130356,2017,.57468128,10.72,.62678397
130360,2017,.55296969,11.05,.62426847
130370,2017,.55676603,10.006,.59790707
130380,2017,.55057251,10.298999,.60267794
130390,2017,.53008091,10.663,.60180622
130395,2017,.55132478,10.987,.62163162
130400,2017,.5318805,10.829,.60700315
130406,2017,.53754127,10.341001,.59731966
130410,2017,.58586562,10.195,.61744332
130420,2017,.60129154,10.290999,.62815475
130423,2017,.53701484,10.161,.59246033
130426,2017,.53897041,9.4919996,.57653028
130430,2017,.55922925,11.055,.62787282
130440,2017,.56181836,10.721999,.61996347
140000,2017,,,
140002,2017,.61134481,10.773,.64848357
140005,2017,.56431705,10.637,.61891413
140010,2017,.59304422,10.797999,.6390934
140015,2017,.58947378,10.349,.62377667
140017,2017,.57355762,10.531,.62077338
140020,2017,.60365117,10.164999,.6255582
140023,2017,.58225554,10.192999,.6155706
140028,2017,.59407151,9.1739998,.59214777
140030,2017,.55353671,10.612,.61258382
140040,2017,.53493965,10.343,.5960865
140045,2017,.58616543,10.782001,.63483059
140047,2017,.57958597,10.206,.61460245
140050,2017,.53863132,10.625001,.60521996
140060,2017,.58815509,10.431001,.62550479
140070,2017,.59076935,10.51,.62921572
150000,2017,,,
150010,2017,.56364346,10.347,.61052352
150013,2017,.56296694,10.257,.6077134
