FID,NM_MUNICIP,CD_GEOCMU,x_cent,y_cent
0,CAIUÁ,3509106,-51.986638464199999,-21.801456567399999
1,CASTILHO,3511003,-51.570251855199999,-20.897610428499998
2,DRACENA,3514403,-51.584048542600001,-21.556711919100000
3,ESTRELA DO NORTE,3515301,-51.669072988600000,-22.485611238000001
4,EUCLIDES DA CUNHA PAULISTA,3515350,-52.588604574700000,-22.518967372799999
5,MARABÁ PAULISTA,3528700,-52.056586003400000,-22.127697668400000
6,MIRANTE DO PARANAPANEMA,3530201,-51.997967773500001,-22.349245509300001
7,MONTE CASTELO,3531605,-51.571367179299997,-21.254858596300000
8,NARANDIBA,3532207,-51.521678696000002,-22.563711351599999
9,NOVA GUATAPORANGA,3533106,-51.645447494000003,-21.322363558199999
10,OURO VERDE,3534807,-51.737844634900000,-21.510411982400001
11,PANORAMA,3535408,-51.858065250199999,-21.463307380000000
12,PAULICÉIA,3536406,-51.790721488700001,-21.198343399199999
13,PIQUEROBI,3538303,-51.731566846900002,-21.852667933300001
14,PRESIDENTE BERNARDES,3541208,-51.620341973300000,-22.107272759600001
15,PRESIDENTE EPITÁCIO,3541307,-52.174917832900000,-21.910657934800000
16,PRESIDENTE VENCESLAU,3541505,-51.838338041400000,-21.793013332699999
17,RIBEIRÃO DOS ÍNDIOS,3543238,-51.583278008000001,-21.784269357700001
18,ROSANA,3544251,-52.836903931199998,-22.489146256500000
19,SANDOVALINA,3545506,-51.842133950799997,-22.477862106800000
20,SANTA MERCEDES,3547106,-51.737131909699997,-21.316776356300000
21,SANTO ANASTÁCIO,3547700,-51.722519606299997,-22.037656944199998
22,SÃO JOÃO DO PAU D'ALHO,3549300,-51.673044253100002,-21.223449726500000
23,TARABAI,3553906,-51.625778555899998,-22.357974825199999
24,TEODORO SAMPAIO,3554300,-52.374035100999997,-22.416606901200002
25,TUPI PAULISTA,3555109,-51.587199532100001,-21.390396083399999
26,ABELARDO LUZ,4200101,-52.255937145300003,-26.562314160200000
27,ÁGUAS DE CHAPECÓ,4200507,-52.956711974999997,-27.054408158800001
28,ÁGUAS FRIAS,4200556,-52.852709935900002,-26.851865885100000
29,ALTO BELA VISTA,4200754,-51.925802240300001,-27.421406818800001
30,ANCHIETA,4200804,-53.332305007700000,-26.532558647199998
31,ARABUTÃ,4201273,-52.181243158800001,-27.140885440500000
32,ARVOREDO,4201653,-52.442232193099997,-27.070957224899999
33,BANDEIRANTE,4202081,-53.648194668199999,-26.768606063200000
34,BARRA BONITA,4202099,-53.424570371800002,-26.667815505000000
35,BELMONTE,4202156,-53.617925146200001,-26.856620856900001
36,BOM JESUS,4202537,-52.390753485899999,-26.739904658299999
37,BOM JESUS DO OESTE,4202578,-53.095199850800000,-26.683377548599999
38,CAIBI,4203105,-53.263167574299999,-27.024293576000002
39,CAMPO ERÊ,4203501,-53.130041111700002,-26.450291760700001
40,CAPINZAL,4203907,-51.631014723600003,-27.412017251000002
41,CATANDUVAS,4204004,-51.696805093999998,-27.045535673700002
42,CAXAMBU DO SUL,4204103,-52.920140541800002,-27.146734098600000
43,CHAPECÓ,4204202,-52.650323447799998,-27.124975848100000
44,CONCÓRDIA,4204301,-52.007277312200003,-27.239105585699999
45,CORDILHEIRA ALTA,4204350,-52.641436296000002,-26.975692714000001
