code,idgrade,mean_dropout
1100015,5,.8649999999999999
1100015,9,5.89375
1100023,5,1.345
1100023,9,4.806249999999999
1100031,5,.45
1100031,9,2.78125
1100049,5,.575
1100049,9,4.6375
1100056,5,.6300000000000001
1100056,9,4.75625
1100064,5,.51
1100064,9,3.125
1100072,5,.5
1100072,9,6.893750000000002
1100080,5,1.835
1100080,9,7.918750000000001
1100098,5,1.19
1100098,9,5.949999999999999
1100106,5,1.815
1100106,9,6.125
1100114,5,1.2
1100114,9,4.46875
1100122,5,1.245
1100122,9,4.712499999999999
1100130,5,1.89
1100130,9,7.925000000000001
1100148,5,.635
1100148,9,4.225
1100155,5,1.005
1100155,9,4.318750000000001
1100189,5,.71
1100189,9,4.524999999999999
1100205,5,1.885
1100205,9,4.38125
1100254,5,.7150000000000001
1100254,9,5.787500000000001
1100262,5,1.61
1100262,9,7.487499999999999
1100288,5,.5650000000000001
1100288,9,5.337500000000001
1100296,5,1.14
1100296,9,3.08125
1100304,5,.5599999999999999
1100304,9,3.49375
1100320,5,.6549999999999999
1100320,9,3.9125
1100338,5,1.97
1100338,9,6.08125
1100346,5,.885
1100346,9,4.4875
1100379,5,.4450000000000001
1100379,9,6.05625
1100403,5,1.19
1100403,9,6.581249999999999
1100452,5,1.29
1100452,9,8.94375
1100502,5,.585
1100502,9,3.825
1100601,5,.925
1100601,9,6.087499999999999
1100700,5,2.1
1100700,9,9.493750000000002
1100809,5,2.955
1100809,9,5.768750000000001
1100908,5,2.015
1100908,9,5.88125
1100924,5,.7949999999999999
1100924,9,6.35625
1100940,5,1.78
1100940,9,6.9625
1101005,5,1.265
1101005,9,5.76875
1101104,5,2.435
1101104,9,6.343749999999999
1101203,5,1.085
1101203,9,4.15625
1101302,5,1.145
1101302,9,3.712499999999999
1101401,5,1.295
1101401,9,6.962499999999999
1101435,5,1.11
1101435,9,4.5375
1101450,5,1.335
1101450,9,8.768750000000001
1101468,5,1.52
1101468,9,5.968750000000001
1101476,5,.4399999999999999
1101476,9,5.4375
1101484,5,.235
1101484,9,3.5625
1101492,5,1.245
1101492,9,5.800000000000001
1101500,5,.49
1101500,9,4.725000000000001
1101559,5,1.325
1101559,9,6.918749999999999
1101609,5,1.64
1101609,9,7.5625
1101708,5,1.295
